,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
2BPQ,1.9,X-RAY DIFFRACTION,10.1016/J.JMB.2005.11.016,"{'A': ['P9WFX4'], 'B': ['P9WFX4']}","['A', 'B']",16337227,"[('A', ['2.4.2.18']), ('B', ['2.4.2.18'])]",P 21 21 21,22-APR-05,"['GOL', 'BEN']"
2BVC,2.1,X-RAY DIFFRACTION,10.1073/PNAS.0502248102,"{'A': ['P9WN39'], 'C': ['P9WN39'], 'B': ['P9WN39'], 'E': ['P9WN39'], 'D': ['P9WN39'], 'F': ['P9WN39']}","['F', 'A', 'C', 'B', 'E', 'D']",16027359,"[('F', ['6.3.1.2']), ('A', ['6.3.1.2']), ('C', ['6.3.1.2']), ('B', ['6.3.1.2']), ('E', ['6.3.1.2']), ('D', ['6.3.1.2'])]",C 2 2 21,23-JUN-05,"['ADP', 'CL', 'P3S', 'MG']"
2BYO,2.15,X-RAY DIFFRACTION,10.1038/SJ.EMBOJ.7601048,{'A': ['P9WK65']},['A'],16541102,,P 65 2 2,03-AUG-05,"['OAA', 'ZN', 'ACT', 'LNL', 'HXA', 'MLT']"
2BZR,2.2,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2006.11.054,"{'A': ['P9WQH7'], 'C': ['P9WQH7'], 'B': ['P9WQH7'], 'E': ['P9WQH7'], 'D': ['P9WQH7'], 'F': ['P9WQH7']}","['A', 'C', 'B', 'F', 'D', 'E']",17157300,"[('A', ['6.4.1.3']), ('C', ['6.4.1.3']), ('B', ['6.4.1.3']), ('F', ['6.4.1.3']), ('D', ['6.4.1.3']), ('E', ['6.4.1.3'])]",P 41 21 2,22-AUG-05,
2C27,1.8,X-RAY DIFFRACTION,10.1074/JBC.M510798200,{'A': ['P9WJM7']},['A'],16326705,,P 1 21 1,26-SEP-05,"['ACO', 'COA', 'MA8']"
2C2X,2.0,X-RAY DIFFRACTION,,"{'A': ['P9WG81'], 'B': ['P9WG81']}","['A', 'B']",,"[('A', ['1.5.1.5', '3.5.4.9']), ('B', ['1.5.1.5', '3.5.4.9'])]",P 21 21 21,30-SEP-05,
2C2Y,2.3,X-RAY DIFFRACTION,,{'A': ['P9WG81']},['A'],,"[('A', ['1.5.1.5', '3.5.4.9'])]",P 43 21 2,30-SEP-05,
2C45,2.99,X-RAY DIFFRACTION,10.1002/PROT.21126,"{'A': ['P9WIL3'], 'C': ['P9WIL3'], 'B': ['P9WIL3'], 'E': ['P9WIL3'], 'D': ['P9WIL3'], 'G': ['P9WIL3'], 'F': ['P9WIL3'], 'H': ['P9WIL3']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",17001646,"[('A', ['4.1.1.11']), ('C', ['4.1.1.11']), ('B', ['4.1.1.11']), ('E', ['4.1.1.11']), ('D', ['4.1.1.11']), ('G', ['4.1.1.11']), ('F', ['4.1.1.11']), ('H', ['4.1.1.11'])]",P 31,15-OCT-05,
2C7G,1.8,X-RAY DIFFRACTION,10.1021/BI060369M,{'A': ['P9WIQ3']},['A'],16846214,"[('A', ['1.18.1.2'])]",P 21 21 2,24-NOV-05,"['ODP', 'NA', 'FAD']"
2C82,1.9,X-RAY DIFFRACTION,10.1107/S0907444906019196,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",16790937,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 41,30-NOV-05,['SO4']
2C92,1.6,X-RAY DIFFRACTION,10.1111/J.1742-4658.2006.05481.X,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D']",16984393,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9'])]",C 1 2 1,09-DEC-05,"['DTU', 'TP6', 'K', 'MPD']"
2C94,1.9,X-RAY DIFFRACTION,10.1111/J.1742-4658.2006.05481.X,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D']",16984393,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9'])]",C 1 2 1,09-DEC-05,"['TSF', 'K']"
2C97,2.0,X-RAY DIFFRACTION,10.1111/J.1742-4658.2006.05481.X,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D']",16984393,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9'])]",C 1 2 1,09-DEC-05,"['DTD', 'ACT', 'K', 'JCL', 'MPD']"
2C9B,2.75,X-RAY DIFFRACTION,10.1111/J.1742-4658.2006.05481.X,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9'], 'G': ['P9WHE9'], 'F': ['P9WHE9'], 'I': ['P9WHE9'], 'H': ['P9WHE9'], 'J': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",16984393,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9']), ('G', ['2.5.1.9']), ('F', ['2.5.1.9']), ('I', ['2.5.1.9']), ('H', ['2.5.1.9']), ('J', ['2.5.1.9'])]",P 1,09-DEC-05,"['K', 'PO4', 'MPD', 'PUG']"
2C9D,2.8,X-RAY DIFFRACTION,10.1111/J.1742-4658.2006.05481.X,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9'], 'G': ['P9WHE9'], 'F': ['P9WHE9'], 'I': ['P9WHE9'], 'H': ['P9WHE9'], 'J': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",16984393,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9']), ('G', ['2.5.1.9']), ('F', ['2.5.1.9']), ('I', ['2.5.1.9']), ('H', ['2.5.1.9']), ('J', ['2.5.1.9'])]",P 1,09-DEC-05,"['K', 'MPD', 'PHR']"
2CCA,2.0,X-RAY DIFFRACTION,10.1021/BI051967O,"{'A': ['P9WIE5'], 'B': ['P9WIE5']}","['A', 'B']",16566587,"[('A', ['1.11.1.6']), ('B', ['1.11.1.6'])]",P 42 21 2,16-JAN-06,['HEM']
2CCD,2.1,X-RAY DIFFRACTION,10.1021/BI051967O,"{'A': ['P9WIE5'], 'B': ['P9WIE5']}","['A', 'B']",16566587,,P 42 21 2,16-JAN-06,['HEM']
2CDN,1.9,X-RAY DIFFRACTION,10.1110/PS.062163406,{'A': ['P9WKF5']},['A'],16672241,"[('A', ['2.7.4.3'])]",P 1 21 1,25-JAN-06,"['MG', 'ADP']"
2CIG,1.9,X-RAY DIFFRACTION,10.1038/NSMB1089,{'A': ['P9WNX1']},['A'],16648861,"[('A', ['1.5.1.3'])]",P 41,20-MAR-06,"['SO4', '1DG', 'GOL']"
2CIN,1.98,X-RAY DIFFRACTION,10.1016/J.JMB.2006.08.019,{'A': ['P9WQ77']},['A'],16950391,"[('A', ['2.6.1.36'])]",P 31 2 1,24-MAR-06,['PLP']
2CJD,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2006.08.019,{'A': ['P9WQ77']},['A'],16950391,"[('A', ['2.6.1.36'])]",P 31 2 1,31-MAR-06,"['PLP', 'LYS']"
2CJG,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2006.08.019,{'A': ['P9WQ77']},['A'],16950391,"[('A', ['2.6.1.36'])]",P 31 2 1,01-APR-06,['PMP']
2CJH,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2006.08.019,{'A': ['P9WQ77']},['A'],16950391,"[('A', ['2.6.1.36'])]",P 31 2 1,03-APR-06,"['PLP', 'AKG']"
2D1F,2.5,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.086,"{'A': ['P9WG59'], 'B': ['P9WG59']}","['A', 'B']",18621388,"[('A', ['4.2.3.1']), ('B', ['4.2.3.1'])]",P 61,20-AUG-05,['PLP']
2DFN,1.93,X-RAY DIFFRACTION,10.1107/S1744309106046823,{'A': ['P9WPY3']},['A'],17183161,"[('A', ['2.7.1.71'])]",P 32 2 1,03-MAR-06,"['CL', 'ADP', 'SKM']"
2DFT,2.8,X-RAY DIFFRACTION,10.1107/S1744309106046823,"{'A': ['P9WPY3'], 'C': ['P9WPY3'], 'B': ['P9WPY3'], 'D': ['P9WPY3']}","['A', 'C', 'B', 'D']",17183161,"[('A', ['2.7.1.71']), ('C', ['2.7.1.71']), ('B', ['2.7.1.71']), ('D', ['2.7.1.71'])]",P 21 21 21,03-MAR-06,"['ADP', 'CL', 'MG']"
2DHQ,2.0,X-RAY DIFFRACTION,10.1038/9287,{'A': ['P9WPX7']},['A'],10360352,"[('A', ['4.2.1.10'])]",F 2 3,29-JAN-99,
2EV1,1.6,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.013,"{'A': ['P9WMU9'], 'B': ['P9WMU9']}","['A', 'B']",17482646,"[('A', ['4.6.1.1']), ('B', ['4.6.1.1'])]",P 21 21 2,30-OCT-05,"['OLA', '1PE']"
2EV2,2.35,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.013,"{'A': ['P9WMU9'], 'B': ['P9WMU9']}","['A', 'B']",17482646,"[('A', ['4.6.1.1']), ('B', ['4.6.1.1'])]",C 1 2 1,30-OCT-05,['OLA']
2EV3,2.68,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.013,"{'A': ['P9WMU9'], 'B': ['P9WMU9']}","['A', 'B']",17482646,"[('A', ['4.6.1.1']), ('B', ['4.6.1.1'])]",C 1 2 1,30-OCT-05,['OLA']
2EV4,2.28,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.013,"{'A': ['P9WMU9'], 'B': ['P9WMU9']}","['A', 'B']",17482646,"[('A', ['4.6.1.1']), ('B', ['4.6.1.1'])]",C 1 2 1,30-OCT-05,"['OLA', 'CL']"
2F6L,1.7,X-RAY DIFFRACTION,10.1128/JB.00441-06,"{'A': ['P9WIB9'], 'B': ['P9WIB9']}","['A', 'B']",17146044,"[('A', ['5.4.99.5']), ('B', ['5.4.99.5'])]",P 1 21 1,29-NOV-05,
2FK7,2.1,X-RAY DIFFRACTION,10.1074/JBC.M510250200,{'A': ['Q79FX8']},['A'],16356931,"[('A', ['2.1.1.-'])]",P 31 2 1,04-JAN-06,
2FK8,2.0,X-RAY DIFFRACTION,10.1074/JBC.M510250200,{'A': ['Q79FX8']},['A'],16356931,"[('A', ['2.1.1.-'])]",P 31 2 1,04-JAN-06,['SAM']
2FP1,1.55,X-RAY DIFFRACTION,10.1016/J.JMB.2006.01.069,"{'A': ['P9WIB9'], 'B': ['P9WIB9']}","['A', 'B']",16499927,"[('A', ['5.4.99.5']), ('B', ['5.4.99.5'])]",P 1 21 1,15-JAN-06,['PB']
2FP2,1.64,X-RAY DIFFRACTION,10.1016/J.JMB.2006.01.069,"{'A': ['P9WIB9'], 'B': ['P9WIB9']}","['A', 'B']",16499927,"[('A', ['5.4.99.5']), ('B', ['5.4.99.5'])]",P 1 21 1,15-JAN-06,['TSA']
2FVH,1.8,X-RAY DIFFRACTION,,"{'A': ['P9WFE7'], 'C': ['P9WFE7'], 'B': ['P9WFE7']}","['A', 'C', 'B']",,"[('A', ['3.5.1.5']), ('C', ['3.5.1.5']), ('B', ['3.5.1.5'])]",P 6,30-JAN-06,
2FYF,1.5,X-RAY DIFFRACTION,10.1107/S0907444912004829,"{'A': ['P9WQ73'], 'B': ['P9WQ73']}","['B', 'A']",22525753,"[('B', ['2.6.1.52']), ('A', ['2.6.1.52'])]",P 21 21 21,07-FEB-06,"['SO4', 'GOL', 'PLP', 'PC4']"
2G1J,2.0,X-RAY DIFFRACTION,10.1021/BI0606290,"{'A': ['P9WPY3'], 'B': ['P9WPY3']}","['A', 'B']",16834327,"[('A', ['2.7.1.71']), ('B', ['2.7.1.71'])]",P 31,14-FEB-06,['SO4']
2G1K,1.75,X-RAY DIFFRACTION,10.1021/BI0606290,{'A': ['P9WPY3']},['A'],16834327,"[('A', ['2.7.1.71'])]",P 31 2 1,14-FEB-06,"['SO4', 'CL', 'SKM']"
2G4O,2.0,X-RAY DIFFRACTION,10.1107/S0907444906055624,"{'A': ['P9WKK9'], 'C': ['P9WKK9'], 'B': ['P9WKK9'], 'D': ['P9WKK9']}","['A', 'C', 'B', 'D']",17327674,"[('A', ['1.1.1.85']), ('C', ['1.1.1.85']), ('B', ['1.1.1.85']), ('D', ['1.1.1.85'])]",P 21 21 21,22-FEB-06,"['SO4', 'CL']"
2G5F,1.8,X-RAY DIFFRACTION,10.1128/JB.00338-06,"{'A': ['P9WFX1'], 'C': ['P9WFX1'], 'B': ['P9WFX1'], 'D': ['P9WFX1']}","['A', 'C', 'B', 'D']",16923875,,P 21 21 21,22-FEB-06,"['IMD', 'GOL', 'PYR']"
2G85,2.22,X-RAY DIFFRACTION,,{'A': ['P9WPY1']},['A'],,"[('A', ['4.2.3.5'])]",P 64 2 2,01-MAR-06,
2GES,2.4,X-RAY DIFFRACTION,10.1107/S0907444906012728,{'A': ['P9WPA7']},['A'],16699190,"[('A', ['2.7.1.33'])]",P 31 2 1,20-MAR-06,"['COK', 'CME']"
2GET,2.35,X-RAY DIFFRACTION,10.1107/S0907444906012728,{'A': ['P9WPA7']},['A'],16699190,"[('A', ['2.7.1.33'])]",P 31 2 1,20-MAR-06,"['GOL', 'COK', 'CME']"
2GEU,2.9,X-RAY DIFFRACTION,10.1107/S0907444906012728,{'A': ['P9WPA7']},['A'],16699190,"[('A', ['2.7.1.33'])]",P 31 2 1,20-MAR-06,"['COK', 'CME']"
2GEV,2.35,X-RAY DIFFRACTION,10.1107/S0907444906012728,{'A': ['P9WPA7']},['A'],16699190,"[('A', ['2.7.1.33'])]",P 31 2 1,20-MAR-06,"['GOL', 'COK', 'TRS', 'CME']"
2GP6,2.4,X-RAY DIFFRACTION,10.1016/J.JMB.2006.11.006,"{'A': ['P9WQD7'], 'B': ['P9WQD7']}","['A', 'B']",17174327,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",H 3,17-APR-06,
2GQ2,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2006.04.061,"{'A': ['P9WG57'], 'C': ['P9WG57'], 'B': ['P9WG57'], 'D': ['P9WG57']}","['A', 'C', 'B', 'D']",16730023,"[('A', ['2.1.1.148']), ('C', ['2.1.1.148']), ('B', ['2.1.1.148']), ('D', ['2.1.1.148'])]",P 1 21 1,19-APR-06,"['NAP', 'MSE', 'PGE', 'IOD', 'GOL', 'K']"
2GQ3,2.3,X-RAY DIFFRACTION,10.1110/PS.062300206,"{'A': ['P9WK17'], 'B': ['P9WK17']}","['A', 'B']",16877713,"[('A', ['2.3.3.9']), ('B', ['2.3.3.9'])]",P 41 21 2,19-APR-06,"['MG', 'EPE', 'COA', 'MLT']"
2H9I,2.2,X-RAY DIFFRACTION,10.1084/JEM.20062100,{'A': ['P9WGR1']},['A'],17227913,"[('A', ['1.3.1.9'])]",P 62 2 2,09-JUN-06,['EAD']
2HY1,1.93,X-RAY DIFFRACTION,10.1016/J.JMB.2006.10.005,{'A': ['P9WP65']},['A'],17059828,"[('A', ['3.1.4.17'])]",P 21 21 2,04-AUG-06,"['FE', 'MN', 'PO4']"
2HYO,2.25,X-RAY DIFFRACTION,10.1016/J.JMB.2006.10.005,{'A': ['P9WP65']},['A'],17059828,"[('A', ['3.1.4.17'])]",P 21 21 2,07-AUG-06,"['FE', 'MN']"
2HYP,2.05,X-RAY DIFFRACTION,10.1016/J.JMB.2006.10.005,{'A': ['P9WP65']},['A'],17059828,"[('A', ['3.1.4.17'])]",P 21 21 2,07-AUG-06,"['BR', 'FE', 'MN', 'CAC']"
2I3A,2.15,X-RAY DIFFRACTION,10.1016/J.JMB.2007.01.033,"{'A': ['P9WPZ9'], 'C': ['P9WPZ9'], 'B': ['P9WPZ9'], 'D': ['P9WPZ9']}","['A', 'C', 'B', 'D']",17316682,"[('A', ['1.2.1.38']), ('C', ['1.2.1.38']), ('B', ['1.2.1.38']), ('D', ['1.2.1.38'])]",P 21 21 21,17-AUG-06,['BTB']
2I3G,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2007.01.033,"{'A': ['P9WPZ9'], 'B': ['P9WPZ9']}","['A', 'B']",17316682,"[('A', ['1.2.1.38']), ('B', ['1.2.1.38'])]",C 1 2 1,18-AUG-06,"['BTB', 'NAP']"
2I6U,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2007.11.025,"{'A': ['P9WIT9'], 'C': ['P9WIT9'], 'B': ['P9WIT9']}","['C', 'A', 'B']",18062991,"[('C', ['2.1.3.3']), ('A', ['2.1.3.3']), ('B', ['2.1.3.3'])]",P 65 2 2,29-AUG-06,"['SO4', 'NVA', 'CP']"
2I6Y,2.5,X-RAY DIFFRACTION,10.1021/BI060852X,{'A': ['P9WFX1']},['A'],17240979,"[('A', ['4.1.3.27'])]",C 2 2 21,29-AUG-06,
2IDZ,2.0,X-RAY DIFFRACTION,10.1016/J.JSB.2007.04.009,{'A': ['P9WGR1']},['A'],17588773,"[('A', ['1.3.1.9'])]",P 62 2 2,15-SEP-06,['ZID']
2IE0,2.2,X-RAY DIFFRACTION,10.1016/J.JSB.2007.04.009,{'A': ['P9WGR1']},['A'],17588773,"[('A', ['1.3.1.9'])]",P 62 2 2,15-SEP-06,['ZID']
2IEB,2.2,X-RAY DIFFRACTION,10.1016/J.JSB.2007.04.009,{'A': ['P9WGR1']},['A'],17588773,"[('A', ['1.3.1.9'])]",P 62 2 2,18-SEP-06,['ZID']
2IED,2.14,X-RAY DIFFRACTION,10.1016/J.JSB.2007.04.009,"{'A': ['P9WGR1'], 'C': ['P9WGR1'], 'B': ['P9WGR1'], 'D': ['P9WGR1']}","['A', 'C', 'B', 'D']",17588773,"[('A', ['1.3.1.9']), ('C', ['1.3.1.9']), ('B', ['1.3.1.9']), ('D', ['1.3.1.9'])]",P 1,18-SEP-06,
2IXC,1.79,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.063,"{'A': ['P9WH11'], 'C': ['P9WH11'], 'B': ['P9WH11'], 'D': ['P9WH11']}","['A', 'C', 'B', 'D']",17046787,"[('A', ['5.1.3.13']), ('C', ['5.1.3.13']), ('B', ['5.1.3.13']), ('D', ['5.1.3.13'])]",P 1,07-JUL-06,['TRH']
2IYQ,1.8,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 32 2 1,21-JUL-06,"['CL', 'ADP', 'SKM', 'TRS']"
2IYR,1.98,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,"{'A': ['P9WPY3'], 'B': ['P9WPY3']}","['A', 'B']",17020768,"[('A', ['2.7.1.71']), ('B', ['2.7.1.71'])]",P 1,21-JUL-06,['SKM']
2IYS,1.4,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 43 21 2,21-JUL-06,"['CL', 'SKM']"
2IYT,1.47,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 43 21 2,22-JUL-06,['CL']
2IYU,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 43 21 2,22-JUL-06,"['CL', 'ADP']"
2IYV,1.35,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 1 21 1,22-JUL-06,"['CL', 'ADP']"
2IYW,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 1 21 1,22-JUL-06,"['MG', 'ATP']"
2IYX,1.49,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 31 2 1,22-JUL-06,"['SO4', 'MG', 'CL', 'SKM']"
2IYY,1.62,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 31 2 1,22-JUL-06,"['SO4', 'MG', 'CL', 'S3P', 'PO4']"
2IYZ,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2006.09.001,{'A': ['P9WPY3']},['A'],17020768,"[('A', ['2.7.1.71'])]",P 31 2 1,22-JUL-06,"['S3P', 'ADP']"
2JA2,1.65,X-RAY DIFFRACTION,,{'A': ['P9WFV9']},['A'],,"[('A', ['6.1.1.17'])]",P 21 21 21,20-NOV-06,"['CL', 'ACT']"
2JCV,2.2,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,"['SO4', 'FOM', 'NDP']"
2JCX,2.1,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,"['SO4', 'FOM', 'NDP']"
2JCY,2.35,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,['SO4']
2JD0,2.3,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,"['SO4', 'NDP']"
2JD1,2.0,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,"['SO4', 'MN', 'NDP']"
2JD2,2.15,X-RAY DIFFRACTION,10.1074/JBC.M701935200,"{'A': ['P9WNS1'], 'B': ['P9WNS1']}","['A', 'B']",17491006,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,04-JAN-07,"['SO4', 'MN']"
2JJE,2.2,X-RAY DIFFRACTION,,{'A': ['P9WQ77']},['A'],,"[('A', ['2.6.1.36'])]",P 31 2 1,03-APR-08,['PLP']
2JJF,1.95,X-RAY DIFFRACTION,,{'A': ['P9WQ77']},['A'],,"[('A', ['2.6.1.36'])]",P 31 2 1,04-APR-08,
2JJG,2.4,X-RAY DIFFRACTION,,{'A': ['P9WQ77']},['A'],,"[('A', ['2.6.1.36'])]",P 31 2 1,04-APR-08,"['PLP', 'L18']"
2JJH,2.7,X-RAY DIFFRACTION,,{'A': ['P9WQ77']},['A'],,"[('A', ['2.6.1.36'])]",P 31 2 1,04-APR-08,"['PLP', 'AKG']"
2LX5,,SOLUTION NMR,10.1128/AAC.01039-12,{'A': ['P9WPV1']},['A'],23089752,,,14-AUG-12,
2NQT,1.58,X-RAY DIFFRACTION,10.1016/J.JMB.2007.01.033,"{'A': ['P9WPZ9'], 'B': ['P9WPZ9']}","['A', 'B']",17316682,"[('A', ['1.2.1.38']), ('B', ['1.2.1.38'])]",C 1 2 1,31-OCT-06,['CSD']
2NSD,1.9,X-RAY DIFFRACTION,10.1016/J.BMC.2007.08.013,"{'A': ['P9WGR1'], 'B': ['P9WGR1']}","['A', 'B']",17723305,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]",I 21 21 21,03-NOV-06,"['NAD', '4PI']"
2NTJ,2.5,X-RAY DIFFRACTION,10.1084/JEM.20062100,"{'A': ['P9WGR1'], 'B': ['P9WGR1']}","['A', 'B']",17227913,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]",I 21 21 21,07-NOV-06,['P1H']
2NTN,2.3,X-RAY DIFFRACTION,10.1107/S0907444907024158,"{'A': ['P9WGT3'], 'B': ['P9WGT3']}","['A', 'B']",17642518,"[('A', ['1.1.1.100']), ('B', ['1.1.1.100'])]",C 1 2 1,08-NOV-06,
2NV6,1.9,X-RAY DIFFRACTION,10.1038/NM1466,{'A': ['P9WGR1']},['A'],16906155,"[('A', ['1.3.1.9'])]",P 62 2 2,10-NOV-06,['ZID']
2O0B,1.15,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,27-NOV-06,"['SO4', 'S3P', 'PO4']"
2O0D,1.6,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,27-NOV-06,"['SO4', 'S3P']"
2O0E,1.81,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,27-NOV-06,"['SO4', 'PEP', 'S3P']"
2O0R,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2007.01.023,"{'A': ['P9WPZ5'], 'B': ['P9WPZ5']}","['A', 'B']",17292400,"[('A', ['2.6.1.-']), ('B', ['2.6.1.-'])]",P 2 2 21,28-NOV-06,"['GOL', 'CL', 'LLP', 'NA']"
2O0T,2.33,X-RAY DIFFRACTION,10.1007/S10969-009-9065-Z,"{'A': ['P9WIU7'], 'C': ['P9WIU7'], 'B': ['P9WIU7'], 'D': ['P9WIU7']}","['A', 'C', 'B', 'D']",19543810,"[('A', ['4.1.1.20']), ('C', ['4.1.1.20']), ('B', ['4.1.1.20']), ('D', ['4.1.1.20'])]",P 1 21 1,28-NOV-06,"['SO4', 'LLP']"
2O0X,1.96,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,28-NOV-06,"['SO4', 'SKP']"
2O0Z,2.0,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,28-NOV-06,"['SO4', 'EPS', 'PO4']"
2O11,1.65,X-RAY DIFFRACTION,,{'A': ['P9WPY1']},['A'],,"[('A', ['4.2.3.5'])]",P 64 2 2,28-NOV-06,"['ACT', 'NA', 'TRS']"
2O12,1.72,X-RAY DIFFRACTION,,{'A': ['P9WPY1']},['A'],,"[('A', ['4.2.3.5'])]",P 64 2 2,28-NOV-06,"['ACT', 'FMN', 'NA']"
2O15,1.95,X-RAY DIFFRACTION,,{'A': ['P9WPY5']},['A'],,"[('A', ['2.5.1.19'])]",P 21 21 21,28-NOV-06,"['SO4', 'PO4']"
2O2E,2.2,X-RAY DIFFRACTION,,"{'A': ['P9WFX9'], 'B': ['P9WFX9']}","['A', 'B']",,"[('A', ['4.2.1.20']), ('B', ['4.2.1.20'])]",C 1 2 1,29-NOV-06,
