,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
2MS3,,SOLUTION NMR,,['ZN'],{'A': ['Q46877']},['A'],,,22-JUL-14,
2MV0,,SOLUTION NMR,10.1073/PNAS.1203013109,,{'A': ['P0AEX9']},['A'],22733734,,18-SEP-14,
2N44,,SOLUTION NMR,10.1038/NMETH.3455,,{'A': ['P0AEX9']},['A'],26121406,,16-JUN-15,
2N45,,SOLUTION NMR,10.1038/NMETH.3455,,{'A': ['P0AEX9']},['A'],26121406,,17-JUN-15,
2N58,,SOLUTION NMR,10.1016/J.BPJ.2015.06.036,,{'A': ['P25740']},['A'],26244737,,13-JUL-15,"[('A', ['2.4.-.-'])]"
2N5T,,SOLUTION NMR; SOLUTION SCATTERING,10.1073/PNAS.1515366112,,"{'A': ['P08839'], 'B': ['P08839']}","['A', 'B']",26305976,,28-JUL-15,"[('A', ['2.7.3.9']), ('B', ['2.7.3.9'])]"
2NLX,2.7,X-RAY DIFFRACTION,10.1016/J.JMB.2006.10.068,,"{'A': ['P09099'], 'B': ['P09099']}","['A', 'B']",17123542,P 21 21 21,20-OCT-06,"[('A', ['2.7.1.17']), ('B', ['2.7.1.17'])]"
2NMR,2.1,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'GOL', 'ACT']",{'A': ['P69681']},['A'],17040913,P 63,23-OCT-06,
2NOO,1.65,X-RAY DIFFRACTION,10.1107/S0907444906048712,"['NI', 'IOD', 'TYI']",{'A': ['P33590']},['A'],17242515,P 21 21 21,26-OCT-06,"[('A', ['3.6.3.24'])]"
2NOP,2.0,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'GOL', 'ACT', 'IMD']",{'A': ['P69681']},['A'],17040913,P 63,26-OCT-06,
2NOW,2.2,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'GOL', 'ACT']",{'A': ['P69681']},['A'],17040913,P 63,26-OCT-06,
2NPC,2.1,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['ACT', 'IMD']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NPD,2.1,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['ACT', 'IMD']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NPE,2.1,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'ACT']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NPG,2.0,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'GOL', 'ACT']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NPJ,2.0,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['ACT', 'IMD']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NPK,2.0,X-RAY DIFFRACTION,10.1074/JBC.M608325200,"['SO4', 'GOL', 'ACT', 'IMD']",{'A': ['P69681']},['A'],17040913,P 63,27-OCT-06,
2NQK,2.9,X-RAY DIFFRACTION,10.1021/BI061551Q,,"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQM,3.0,X-RAY DIFFRACTION,10.1021/BI061551Q,,"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQN,2.2,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQQ,2.4,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'C': ['P12281'], 'B': ['P12281'], 'D': ['P12281']}","['A', 'C', 'B', 'D']",17198377,P 1 21 1,31-OCT-06,
2NQR,2.2,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQS,2.5,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQU,2.7,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NQV,2.82,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,31-OCT-06,
2NRO,2.5,X-RAY DIFFRACTION,10.1021/BI061551Q,,"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,02-NOV-06,
2NRP,3.0,X-RAY DIFFRACTION,10.1021/BI061551Q,['GOL'],"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,02-NOV-06,
2NRS,2.8,X-RAY DIFFRACTION,10.1021/BI061551Q,,"{'A': ['P12281'], 'B': ['P12281']}","['A', 'B']",17198377,P 21 21 21,02-NOV-06,
2NS1,1.96,X-RAY DIFFRACTION,10.1073/PNAS.0609796104,"['ADP', 'BOG', 'TRS']","{'A': ['P69681'], 'B': ['P0AC55']}","['A', 'B']",17190799,H 3 2,02-NOV-06,
2NSH,1.8,X-RAY DIFFRACTION,10.1021/BI602436G,['NIA'],{'A': ['P0AG18']},['A'],17298082,I 4 2 2,04-NOV-06,"[('A', ['4.1.1.21'])]"
2NSJ,2.31,X-RAY DIFFRACTION,10.1021/BI602436G,['C2R'],{'A': ['P0AG18']},['A'],17298082,I 4 2 2,04-NOV-06,"[('A', ['4.1.1.21'])]"
2NSL,2.0,X-RAY DIFFRACTION,10.1021/BI602436G,['C2R'],{'A': ['P0AG18']},['A'],17298082,I 4 2 2,04-NOV-06,"[('A', ['4.1.1.21'])]"
2NU6,2.55,X-RAY DIFFRACTION,10.1107/S0907444907029319,"['COA', 'NEP', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",17642514,P 43 2 2,08-NOV-06,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
2NU7,2.2,X-RAY DIFFRACTION,10.1107/S0907444907029319,"['COA', 'PO4', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",17642514,P 43 2 2,08-NOV-06,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
2NU8,2.15,X-RAY DIFFRACTION,10.1107/S0907444907029319,"['COA', 'GOL', 'PO4', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",17642514,P 43 2 2,08-NOV-06,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
2NU9,2.9,X-RAY DIFFRACTION,10.1107/S0907444907029319,"['COA', 'NEP', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9'], 'G': ['P0A836'], 'F': ['P0AGE9'], 'I': ['P0A836'], 'H': ['P0AGE9']}","['A', 'B', 'E', 'D', 'G', 'F', 'I', 'H']",17642514,P 21 21 21,08-NOV-06,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5']), ('G', ['6.2.1.5']), ('F', ['6.2.1.5']), ('I', ['6.2.1.5']), ('H', ['6.2.1.5'])]"
2NUA,2.95,X-RAY DIFFRACTION,10.1107/S0907444907029319,"['COA', 'PO4', 'SO4']","{'A': ['P0AGE9'], 'B': ['P0A836'], 'E': ['P0A836'], 'D': ['P0AGE9']}","['A', 'B', 'E', 'D']",17642514,P 43 2 2,08-NOV-06,"[('A', ['6.2.1.5']), ('B', ['6.2.1.5']), ('E', ['6.2.1.5']), ('D', ['6.2.1.5'])]"
2NUU,2.5,X-RAY DIFFRACTION,10.1073/PNAS.0610348104,['ADP'],"{'A': ['P69681'], 'C': ['P69681'], 'B': ['P69681'], 'E': ['P69681'], 'D': ['P69681'], 'G': ['P0AC55'], 'F': ['P69681'], 'I': ['P0AC55'], 'H': ['P0AC55'], 'K': ['P0AC55'], 'J': ['P0AC55'], 'L': ['P0AC55']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'L']",17220269,P 21 21 21,09-NOV-06,
2NVU,2.8,X-RAY DIFFRACTION,10.1038/NATURE05490,"['ATP', 'ZN', 'MG']","{'A': ['Q13564'], 'I': ['Q15843'], 'C': ['P61081'], 'B': ['Q8TBC4'], 'J': ['Q15843']}","['C', 'A', 'B', 'I', 'J']",17220875,P 32 2 1,13-NOV-06,"[('C', ['6.3.2.-']), ('B', ['6.3.2.-'])]"
2NYA,2.5,X-RAY DIFFRACTION,10.1074/JBC.M607353200,"['6MO', 'MGD', 'SF4']","{'A': ['P33937'], 'F': ['P33937']}","['A', 'F']",17130127,P 1 21 1,20-NOV-06,"[('A', ['1.7.99.4']), ('F', ['1.7.99.4'])]"
2NYB,1.1,X-RAY DIFFRACTION,10.1021/JA069224T,"['O', 'FE2']","{'A': ['P0AGD3'], 'C': ['P0AGD3'], 'B': ['P0AGD3'], 'D': ['P0AGD3']}","['A', 'C', 'B', 'D']",17628062,P 1 21 1,20-NOV-06,"[('A', ['1.15.1.1']), ('C', ['1.15.1.1']), ('B', ['1.15.1.1']), ('D', ['1.15.1.1'])]"
2O1C,1.8,X-RAY DIFFRACTION,10.1016/J.STR.2007.06.018,"['SO4', 'PPV']","{'A': ['P0AFC0'], 'C': ['P0AFC0'], 'B': ['P0AFC0'], 'D': ['P0AFC0']}","['A', 'C', 'B', 'D']",17698004,C 1 2 1,28-NOV-06,"[('A', ['3.6.1.-']), ('C', ['3.6.1.-']), ('B', ['3.6.1.-']), ('D', ['3.6.1.-'])]"
2O1S,2.4,X-RAY DIFFRACTION,10.1074/JBC.M610235200,"['DPO', 'MSE', 'K', 'MG', 'TDP']","{'A': ['P77488'], 'C': ['P77488'], 'B': ['P77488'], 'D': ['P77488']}","['A', 'C', 'B', 'D']",17135236,P 1 21 1,29-NOV-06,"[('A', ['2.2.1.7']), ('C', ['2.2.1.7']), ('B', ['2.2.1.7']), ('D', ['2.2.1.7'])]"
2O5W,2.6,X-RAY DIFFRACTION,10.1016/J.STR.2007.06.018,"['NA', 'PPV', 'SO4', 'SM']","{'A': ['P0AFC0'], 'C': ['P0AFC0'], 'B': ['P0AFC0'], 'D': ['P0AFC0']}","['A', 'C', 'B', 'D']",17698004,C 1 2 1,06-DEC-06,"[('A', ['3.6.1.-']), ('C', ['3.6.1.-']), ('B', ['3.6.1.-']), ('D', ['3.6.1.-'])]"
2O7P,3.0,X-RAY DIFFRACTION,10.1016/J.JMB.2006.12.009,"['MSE', 'NAP']","{'A': ['Q3ZUB0'], 'B': ['Q3ZUB0']}","['A', 'B']",17765262,P 31 2 1,11-DEC-06,"[('A', ['3.5.4.26', '1.1.1.193']), ('B', ['3.5.4.26', '1.1.1.193'])]"
2O8V,3.0,X-RAY DIFFRACTION,10.1021/BI700130E,,"{'A': ['P17854'], 'B': ['P0AA25']}","['A', 'B']",17352498,C 2 2 21,12-DEC-06,"[('A', ['1.8.4.8']), ('B', ['1.-.-.-'])]"
2O90,1.07,X-RAY DIFFRACTION,,['NEU'],{'A': ['P0AC16']},['A'],,I 4 2 2,12-DEC-06,"[('A', ['4.1.2.25'])]"
2O9D,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2007.02.070,"['HSG', 'HSH']","{'A': ['P60844'], 'B': ['P60844']}","['A', 'B']",17376483,P 4,13-DEC-06,
2O9E,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2007.02.070,['HG'],{'A': ['P60844']},['A'],17376483,I 4,13-DEC-06,
2O9F,2.55,X-RAY DIFFRACTION,10.1016/J.JMB.2007.02.070,,"{'A': ['P60844'], 'B': ['P60844']}","['A', 'B']",17376483,P 4,13-DEC-06,
2O9G,1.9,X-RAY DIFFRACTION,10.1016/J.JMB.2007.02.070,"['BOG', 'HG']",{'A': ['P60844']},['A'],17376483,I 4,13-DEC-06,
2OBC,3.0,X-RAY DIFFRACTION,10.1016/J.JMB.2006.12.009,"['RP5', 'MSE']","{'A': ['P25539'], 'B': ['P25539']}","['A', 'B']",17765262,P 31 2 1,18-DEC-06,"[('A', ['3.5.4.26', '1.1.1.193']), ('B', ['3.5.4.26', '1.1.1.193'])]"
2OBG,2.35,X-RAY DIFFRACTION,10.1073/PNAS.0700149104,,{'A': ['P0AEX9']},['A'],17420456,P 41,19-DEC-06,
2OFJ,2.3,X-RAY DIFFRACTION,10.1021/BI700507D,,"{'A': ['P29208'], 'C': ['P29208'], 'B': ['P29208'], 'D': ['P29208']}","['A', 'C', 'B', 'D']",17503785,P 1 21 1,03-JAN-07,"[('A', ['4.2.1.-']), ('C', ['4.2.1.-']), ('B', ['4.2.1.-']), ('D', ['4.2.1.-'])]"
2OFP,2.3,X-RAY DIFFRACTION,10.1074/JBC.M611171200,"['DIO', 'ACT', 'PAF', 'NAP']","{'A': ['P0A9J4'], 'B': ['P0A9J4']}","['A', 'B']",17229734,P 41 21 2,04-JAN-07,"[('A', ['1.1.1.169']), ('B', ['1.1.1.169'])]"
2OGW,1.83,X-RAY DIFFRACTION,10.1016/J.JMB.2007.01.041,"['ZN', 'MSE']","{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",17306297,P 21 21 21,09-JAN-07,
2OI5,2.25,X-RAY DIFFRACTION,10.1110/PS.072779707,"['SO4', 'MG', 'UD1', 'ACO']","{'A': ['P0ACC7'], 'B': ['P0ACC7']}","['A', 'B']",17473010,H 3 2,10-JAN-07,"[('A', ['2.7.7.23', '2.3.1.157']), ('B', ['2.7.7.23', '2.3.1.157'])]"
2OI6,2.2,X-RAY DIFFRACTION,10.1110/PS.072779707,"['UD1', 'COA', 'GP1', 'CO', 'SO4', 'MG']","{'A': ['P0ACC7'], 'B': ['P0ACC7']}","['A', 'B']",17473010,H 3 2,10-JAN-07,"[('A', ['2.7.7.23', '2.3.1.157']), ('B', ['2.7.7.23', '2.3.1.157'])]"
2OI7,2.54,X-RAY DIFFRACTION,10.1110/PS.072779707,"['UD1', 'DCA', 'CO', 'SO4', 'MG', 'GN1']","{'A': ['P0ACC7'], 'B': ['P0ACC7']}","['A', 'B']",17473010,H 3 2,10-JAN-07,"[('A', ['2.7.7.23', '2.3.1.157']), ('B', ['2.7.7.23', '2.3.1.157'])]"
2OJP,1.7,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.038,"['KGC', 'GOL', 'CSD']","{'A': ['P0A6L2'], 'B': ['P0A6L2']}","['A', 'B']",18556019,P 21 21 21,13-JAN-07,"[('A', ['4.2.1.52']), ('B', ['4.2.1.52'])]"
2OK2,2.0,X-RAY DIFFRACTION,10.1074/JBC.M700858200,"['SO4', 'MAL']","{'A': ['P0AEX9'], 'B': ['P0AEX9']}","['A', 'B']",17426027,C 1 2 1,15-JAN-07,
2OLQ,1.94,X-RAY DIFFRACTION,10.1016/J.BIOCEL.2007.03.015,"['MG', 'CO2', 'MN', 'ATP']",{'A': ['P22259']},['A'],17475535,C 1 2 1,19-JAN-07,"[('A', ['4.1.1.49'])]"
2OLR,1.6,X-RAY DIFFRACTION,10.1016/J.BIOCEL.2007.03.015,"['MG', 'CO2', 'CL', 'ATP']",{'A': ['P22259']},['A'],17475535,C 1 2 1,19-JAN-07,"[('A', ['4.1.1.49'])]"
2OMF,2.4,X-RAY DIFFRACTION,,['C8E'],{'A': ['P02931']},['A'],,P 3 2 1,28-FEB-95,
2OPX,2.53,X-RAY DIFFRACTION,,['DXC'],{'A': ['P25553']},['A'],,P 64 2 2,30-JAN-07,"[('A', ['1.2.1.22'])]"
2OQX,1.9,X-RAY DIFFRACTION,10.1107/S0907444907036396,"['MG', 'EPE', 'CL', 'CME']",{'A': ['Q5UES8']},['A'],17704565,F 2 2 2,01-FEB-07,"[('A', ['4.1.99.1'])]"
2OSV,1.75,X-RAY DIFFRACTION,10.1016/J.JMB.2007.02.107,['ZN'],"{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",17399739,P 21 21 21,06-FEB-07,
2OTC,2.8,X-RAY DIFFRACTION,10.1073/PNAS.94.18.9550,['PAO'],"{'A': ['P04391'], 'C': ['P04391'], 'B': ['P04391'], 'E': ['P04391'], 'D': ['P04391'], 'G': ['P04391'], 'F': ['P04391'], 'I': ['P04391'], 'H': ['P04391']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H']",9275160,P 1,15-JUN-97,"[('A', ['2.1.3.3']), ('C', ['2.1.3.3']), ('B', ['2.1.3.3']), ('E', ['2.1.3.3']), ('D', ['2.1.3.3']), ('G', ['2.1.3.3']), ('F', ['2.1.3.3']), ('I', ['2.1.3.3']), ('H', ['2.1.3.3'])]"
2OWO,2.3,X-RAY DIFFRACTION,10.1016/J.MOLCEL.2007.02.026,"['AMP', 'ZN', 'SO4', 'OMC']","{'A': ['P15042'], 'C': ['PDB-C'], 'B': ['PDB-B'], 'D': ['PDB-D']}","['C', 'A', 'B', 'D']",17466627,C 1 2 1,16-FEB-07,"[('A', ['6.5.1.2'])]"
2OWZ,2.18,X-RAY DIFFRACTION,10.1074/JBC.M611104200,"['CIT', 'F6P', 'MSE']",{'A': ['P0A993']},['A'],17314096,I 2 2 2,17-FEB-07,"[('A', ['3.1.3.11'])]"
2OX3,2.18,X-RAY DIFFRACTION,10.1074/JBC.M611104200,"['F6P', 'PEP', 'MSE']",{'A': ['P0A993']},['A'],17314096,I 2 2 2,19-FEB-07,"[('A', ['3.1.3.11'])]"
2OZY,1.74,X-RAY DIFFRACTION,10.1042/BJ20070321,['HEC'],{'A': ['P0ABL1']},['A'],17521287,P 21 21 21,28-FEB-07,
2P0B,1.74,X-RAY DIFFRACTION,10.1042/BJ20070321,['HEC'],{'A': ['P0ABL1']},['A'],17521287,P 21 21 21,28-FEB-07,
2P1X,1.42,X-RAY DIFFRACTION,10.1111/J.1742-4658.2007.05946.X,['EU3'],{'A': ['P27838']},['A'],17651435,P 32 2 1,06-MAR-07,
2P2D,1.89,X-RAY DIFFRACTION,10.1016/J.JMB.2007.03.061,['GOL'],"{'A': ['P0A962'], 'C': ['P0A962'], 'B': ['P0A962'], 'D': ['P0A962']}","['A', 'C', 'B', 'D']",17451745,P 1 21 1,07-MAR-07,"[('A', ['3.5.1.1']), ('C', ['3.5.1.1']), ('B', ['3.5.1.1']), ('D', ['3.5.1.1'])]"
2P2N,1.9,X-RAY DIFFRACTION,10.1016/J.JMB.2007.03.061,"['ASP', 'ASN', 'CL', 'EDO']","{'A': ['P0A962'], 'C': ['P0A962'], 'B': ['P0A962'], 'D': ['P0A962']}","['A', 'C', 'B', 'D']",17451745,P 1 21 1,07-MAR-07,"[('A', ['3.5.1.1']), ('C', ['3.5.1.1']), ('B', ['3.5.1.1']), ('D', ['3.5.1.1'])]"
2P50,2.2,X-RAY DIFFRACTION,10.1021/BI700544C,['ZN'],"{'A': ['P0AF18'], 'C': ['P0AF18'], 'B': ['P0AF18'], 'D': ['P0AF18']}","['A', 'B', 'C', 'D']",17567048,C 2 2 21,14-MAR-07,"[('A', ['3.5.1.25']), ('B', ['3.5.1.25']), ('C', ['3.5.1.25']), ('D', ['3.5.1.25'])]"
2P53,2.1,X-RAY DIFFRACTION,10.1021/BI700544C,"['ZN', 'NNG']","{'A': ['P0AF18'], 'B': ['P0AF18']}","['A', 'B']",17567048,P 31 2 1,14-MAR-07,"[('A', ['3.5.1.25']), ('B', ['3.5.1.25'])]"
2P9C,2.46,X-RAY DIFFRACTION,10.1074/JBC.M701174200,"['SER', 'NAI']","{'A': ['P0A9T0'], 'B': ['P0A9T0']}","['A', 'B']",17459882,P 21 21 2,24-MAR-07,"[('A', ['1.1.1.95']), ('B', ['1.1.1.95'])]"
2P9E,2.6,X-RAY DIFFRACTION,10.1074/JBC.M701174200,"['NAI', 'CIT', 'PO4', 'SO4']","{'A': ['P0A9T0'], 'C': ['P0A9T0'], 'B': ['P0A9T0'], 'D': ['P0A9T0']}","['A', 'C', 'B', 'D']",17459882,P 43,25-MAR-07,"[('A', ['1.1.1.95']), ('C', ['1.1.1.95']), ('B', ['1.1.1.95']), ('D', ['1.1.1.95'])]"
2P9G,2.8,X-RAY DIFFRACTION,10.1074/JBC.M701174200,"['SER', 'NAI']","{'A': ['P0A9T0'], 'B': ['P0A9T0']}","['A', 'B']",17459882,P 21 21 2,25-MAR-07,"[('A', ['1.1.1.95']), ('B', ['1.1.1.95'])]"
2PA3,2.74,X-RAY DIFFRACTION,10.1074/JBC.M701174200,"['SER', 'NAI']",{'A': ['P0A9T0']},['A'],17459882,P 62 2 2,27-MAR-07,"[('A', ['1.1.1.95'])]"
2PAN,2.7,X-RAY DIFFRACTION,10.1038/NCHEMBIO.62,"['1PE', 'MSE', 'DTT', 'FAD', 'MG', 'TDP']","{'A': ['P0AEP7'], 'C': ['P0AEP7'], 'B': ['P0AEP7'], 'E': ['P0AEP7'], 'D': ['P0AEP7'], 'F': ['P0AEP7']}","['A', 'C', 'B', 'E', 'D', 'F']",18176558,P 41 21 2,27-MAR-07,"[('A', ['4.1.1.47']), ('C', ['4.1.1.47']), ('B', ['4.1.1.47']), ('E', ['4.1.1.47']), ('D', ['4.1.1.47']), ('F', ['4.1.1.47'])]"
2PAQ,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2008.02.036,['MSE'],"{'A': ['P76491'], 'B': ['P76491']}","['A', 'B']",18353368,H 3,27-MAR-07,"[('A', ['3.1.3.5']), ('B', ['3.1.3.5'])]"
2PAR,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2008.02.036,"['TMP', 'PEG', 'CO']","{'A': ['P76491'], 'B': ['P76491']}","['A', 'B']",18353368,H 3,27-MAR-07,"[('A', ['3.1.3.5']), ('B', ['3.1.3.5'])]"
2PAU,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2008.02.036,"['D5M', 'PEG', 'CO']","{'A': ['P76491'], 'B': ['P76491']}","['A', 'B']",18353368,H 3,27-MAR-07,"[('A', ['3.1.3.5']), ('B', ['3.1.3.5'])]"
2PFK,2.4,X-RAY DIFFRACTION,10.1016/0022-2836(89)90246-5,,"{'A': ['P0A796'], 'C': ['P0A796'], 'B': ['P0A796'], 'D': ['P0A796']}","['A', 'C', 'B', 'D']",2527305,C 1 21 1,25-JAN-88,"[('A', ['2.7.1.11']), ('C', ['2.7.1.11']), ('B', ['2.7.1.11']), ('D', ['2.7.1.11'])]"
2PFL,2.9,X-RAY DIFFRACTION,10.1038/13341,"['CL', 'NA']","{'A': ['P09373'], 'B': ['P09373']}","['A', 'B']",10504733,P 43 21 2,26-MAY-99,"[('A', ['2.3.1.54']), ('B', ['2.3.1.54'])]"
2PFU,,SOLUTION NMR,10.1111/J.1365-2958.2007.05957.X,,{'A': ['P0ABV2']},['A'],17927700,,05-APR-07,
2PI8,2.25,X-RAY DIFFRACTION,10.1074/JBC.M701818200,"['NAG', 'MSE', 'PO4']","{'A': ['P0A935'], 'C': ['P0A935'], 'B': ['P0A935'], 'D': ['P0A935']}","['A', 'C', 'B', 'D']",17502382,P 31,13-APR-07,"[('A', ['3.2.1.-']), ('C', ['3.2.1.-']), ('B', ['3.2.1.-']), ('D', ['3.2.1.-'])]"
2PIC,2.25,X-RAY DIFFRACTION,10.1074/JBC.M701818200,,{'A': ['P0A935']},['A'],17502382,P 31 2 1,13-APR-07,"[('A', ['3.2.1.-'])]"
2PJJ,2.46,X-RAY DIFFRACTION,10.1074/JBC.M701818200,,{'A': ['P0A935']},['A'],17502382,P 31 2 1,16-APR-07,"[('A', ['3.2.1.-'])]"
2PQ4,,SOLUTION NMR,,,"{'A': ['P0A9I5'], 'B': ['P33937']}","['A', 'B']",,,01-MAY-07,"[('B', ['1.7.99.4'])]"
2PQ9,1.6,X-RAY DIFFRACTION,10.1021/BI701095U,"['GG9', 'FMT']",{'A': ['P0A6D3']},['A'],17958399,P 21 21 21,01-MAY-07,"[('A', ['2.5.1.19'])]"
2PRS,1.7,X-RAY DIFFRACTION,10.1007/S00775-007-0320-0,"['ZN', 'IPA']","{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",18027003,C 1 2 1,04-MAY-07,
2PS0,2.0,X-RAY DIFFRACTION,10.1007/S00775-007-0320-0,['ZN'],"{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",18027003,P 21 21 21,04-MAY-07,
2PS3,2.47,X-RAY DIFFRACTION,10.1007/S00775-007-0320-0,,"{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",18027003,P 21 21 21,04-MAY-07,
2PS9,2.15,X-RAY DIFFRACTION,10.1007/S00775-007-0320-0,['CO'],"{'A': ['P39172'], 'B': ['P39172']}","['A', 'B']",18027003,P 21 21 2,04-MAY-07,
2PTQ,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.052,"['FUM', 'AMP']","{'A': ['P0AB89'], 'B': ['P0AB89']}","['A', 'B']",17531264,P 21 21 2,08-MAY-07,"[('A', ['4.3.2.2']), ('B', ['4.3.2.2'])]"
2PTR,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.052,['2SA'],"{'A': ['P0AB89'], 'B': ['P0AB89']}","['A', 'B']",17531264,P 21 21 2,08-MAY-07,"[('A', ['4.3.2.2']), ('B', ['4.3.2.2'])]"
2PTS,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2007.04.052,['MSE'],{'A': ['P0AB89']},['A'],17531264,I 2 2 2,08-MAY-07,"[('A', ['4.3.2.2'])]"
2PUR,1.7,X-RAY DIFFRACTION,10.1016/J.BIOCHI.2009.05.013,"['GOL', 'KGC', 'K', 'PO4']","{'A': ['P0A6L2'], 'B': ['P0A6L2']}","['A', 'B']",19505526,P 31 2 1,09-MAY-07,"[('A', ['4.2.1.52']), ('B', ['4.2.1.52'])]"
2PWZ,2.2,X-RAY DIFFRACTION,,,"{'A': ['P61889'], 'C': ['P61889'], 'E': ['P61889'], 'G': ['P61889']}","['A', 'C', 'G', 'E']",,C 1 2 1,14-MAY-07,"[('A', ['1.1.1.37']), ('C', ['1.1.1.37']), ('G', ['1.1.1.37']), ('E', ['1.1.1.37'])]"
2PXZ,2.23,X-RAY DIFFRACTION,,"['OAA', 'MG', 'CO2', 'MN', 'ATP']",{'X': ['P22259']},['X'],,C 1 2 1,14-MAY-07,"[('X', ['4.1.1.49'])]"
2PY7,2.2,X-RAY DIFFRACTION,,"['MG', 'MN', 'ATP']",{'X': ['P22259']},['X'],,C 1 2 1,15-MAY-07,"[('X', ['4.1.1.49'])]"
2PYU,2.02,X-RAY DIFFRACTION,10.1016/J.JMB.2007.10.012,"['EDO', 'IMP']",{'A': ['P52061']},['A'],17976651,P 43 21 2,16-MAY-07,"[('A', ['3.6.1.19'])]"
2Q16,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2007.10.012,"['MSE', 'NA', 'CA', 'SO4', 'ITT']","{'A': ['P52061'], 'B': ['P52061']}","['A', 'B']",17976651,P 4 21 2,23-MAY-07,"[('A', ['3.6.1.19']), ('B', ['3.6.1.19'])]"
